,endpoint_COLD HL 1,endpoint_COLD HL 2,endpoint_COLD HL 3,endpoint_COLD 1,endpoint_COLD 2,endpoint_COLD 3,endpoint_T1,endpoint_T 2,endpoint_T 3,endpoint_HEAT HL 1,endpoint_HEAT HL 2,endpoint_HEAT HL 3,endpoint_HEAT DROUGHT 1,endpoint_HEAT DROUGHT 2,endpoint_HEAT DROUGHT 3,endpoint_HEAT 1,endpoint_HEAT 2,endpoint_HEAT 3,endpoint_DROUGHT 1,endpoint_DROUGHT 2,endpoint_DROUGHT 3,endpoint_Humidity 1,endpoint_Humidity 2,endpoint_Humidity 3,endpoint_HL 1,endpoint_HL 2,endpoint_HL 3,recovery_COLD HL 1,recovery_COLD HL 2,recovery_COLD HL 3,recovery_COLD 1,recovery_COLD 2,recovery_COLD 3,recovery_T1,recovery_T 2,recovery_T 3,recovery_HEAT HL 1,recovery_HEAT HL 2,recovery_HEAT HL 3,recovery_HEAT DROUGHT 1,recovery_HEAT DROUGHT 2,recovery_HEAT DROUGHT 3,recovery_HEAT 1,recovery_HEAT 2,recovery_HEAT 3,recovery_DROUGHT 1,recovery_DROUGHT 2,recovery_DROUGHT 3,recovery_Humidity 1,recovery_Humidity 2,recovery_Humidity 3,recovery_HL 1,recovery_HL 2,recovery_HL 3,CONT 1,CONT 2,CONT 3
AT1G01180,6.47669427,6.745478587,6.779021862,6.564228722,6.529885337,6.739409134,6.577608356,6.663891972,6.564865958,6.939673875,6.670395971,6.643361468,7.238825409,7.4300264,7.712592188,6.775518674,6.684738809,6.785403066,6.780543259,6.571419858,6.849327442,7.035116579,7.026634474,7.195114551,6.992769584,6.481190663,6.88257631,6.757858688,7.05806997,6.721905072,6.822089748,6.522545827,6.805988749,6.975020018,6.985244968,7.03918793,6.880151101,6.890908824,6.982290534,6.74384648,6.895020929,6.833235869,6.788529919,6.826156623,6.734848453,6.860397343,7.131121874,6.871721577,6.544720775,6.835598759,6.765264272,6.834913408,6.976379636,7.005387965,6.823342565,6.711792088,6.557111725
AT1G01183,-1.238150037,-1.276721375,-1.277635988,-1.277642795,-1.279104392,-1.278180731,-1.279338672,-1.269083364,-1.277635738,-1.256999995,-1.280193044,-1.280176362,-1.277394307,-1.277443667,-1.249383734,-1.280200671,-1.280187166,-1.280212903,-1.23889107,-1.279870379,-1.251028759,-1.280075617,-1.280188663,-1.280041819,-1.279695503,-1.229575999,-1.27952055,-1.280189815,-1.231274021,-1.280203588,-1.26209025,-1.280177689,-1.280198019,-1.280186953,-1.280181689,-1.279967299,-1.280191187,-1.257790587,-1.280193047,-1.280189787,-1.28019258,-1.280185757,-1.255847067,-1.280197455,-1.280182025,-1.280178908,-1.279583368,-1.280189953,-1.280090994,-1.280203349,-1.280184588,-1.279925678,-1.280191797,-1.280182233,-1.280194809,-1.280181466,-1.280177393
AT1G01190,6.720473218,6.69179995,6.653653909,6.78108577,6.383696971,6.640704234,5.986751285,6.471142712,6.211628635,7.175687671,6.797604301,6.644376411,6.059210665,5.844618166,5.554591229,7.007379387,7.322759491,6.866131839,6.049667385,6.056301631,5.665377362,7.559451146,7.663990219,7.419822124,6.854010996,7.168717636,6.997464506,6.67981203,6.992407729,6.499914851,6.720951129,6.607548055,6.951010058,6.948494663,6.830586891,6.724282222,7.094934354,6.759529598,6.749278115,6.728710428,6.834417039,7.038484355,6.976988895,6.840797363,7.1432488,6.956670193,7.199266808,7.047618872,6.47350424,6.629624751,6.87870678,6.750633288,6.97494268,6.715452434,7.409834463,6.765359822,6.837893983
AT1G01200,5.154821238,5.192409228,5.243787465,4.891143365,5.388783025,5.151489405,4.665750161,4.754753175,4.687812251,4.847218828,4.977537923,4.6654974,4.504686758,4.460312062,4.465714179,4.699980673,4.91885981,4.783491776,4.896250592,4.996673168,4.75085697,4.645200433,5.000701496,4.669905819,4.893599547,4.990772762,4.993082413,4.830771416,5.250831614,4.675988937,4.781362571,4.749952618,4.897106402,4.872097101,4.904316496,4.842068107,4.859298447,4.844433296,4.9429655,4.830852611,4.878371808,4.907818146,4.781186278,4.947504765,4.943274518,4.661465272,4.754753783,4.909739889,4.891157311,4.836024309,5.029576045,4.804633442,4.896126212,4.779292603,4.82450844,4.761762168,4.750577703
AT1G01210,8.757304722,8.658848294,8.554119451,8.361606111,8.286474651,8.217783239,7.747688972,7.653502969,7.770343395,7.833411807,7.648835267,7.579069744,8.466156305,8.089791962,8.591286652,7.496475623,7.559074597,7.221171303,7.999068873,7.52304313,7.988144563,7.477789725,7.587540777,6.97962567,7.588144803,7.626523881,7.520130812,7.355907124,7.760607636,7.465937487,7.443334372,7.745854421,7.570386111,7.286926228,7.460131791,7.486783873,7.354112086,7.396145852,7.420697239,7.399505225,7.198554366,7.2161591,7.485069375,7.323564522,7.480993928,7.528715696,7.613730603,7.704793934,7.421313558,7.409692577,7.50774844,7.419064586,7.589129879,7.538781787,7.599274543,7.358771814,7.411235886
AT1G01220,10.21589183,10.40062077,10.27670378,10.16069577,10.06918785,10.03158324,9.447460198,9.466037598,9.597180593,9.519746911,9.570306819,9.475456967,9.584670741,9.794743173,9.678317999,9.344124339,9.655768652,9.31860545,9.774905387,9.552298537,9.877040248,9.447527783,9.341213468,9.136177578,9.730659989,9.578820379,9.627672804,9.406509619,9.327518936,9.32154508,9.323621895,9.45270379,9.375906882,9.346943673,9.451553868,9.587955976,9.427632427,9.436742984,9.462453908,9.481723818,9.346049133,9.517342133,9.492031965,9.442856858,9.488020513,9.650900039,9.581167779,9.415173361,9.533413514,9.399579718,9.384487083,9.567701803,9.411162034,9.386882731,9.516581976,9.371419531,9.485534298
AT1G01225,5.758275093,5.817540778,5.726076674,5.715641003,5.82671182,5.912371737,5.704645916,5.601159456,5.863507951,5.567029506,5.644014766,5.575070373,5.884031534,5.978735622,5.706106982,5.507004084,5.608995855,5.547192203,5.904974377,5.688416156,5.747830693,5.77565571,5.500739532,5.568554335,5.547807705,5.384726761,5.454118768,5.591525369,5.988855604,5.508708657,5.657423821,5.616490817,5.628181844,5.544968756,5.492072493,5.573304831,5.803722508,5.634496072,5.405993389,5.556385742,5.516793827,5.541777218,5.587725348,5.484092474,5.474165794,5.596976257,5.647629281,5.65097869,5.557253907,5.661388768,5.699579729,5.507313396,5.623692303,5.490305954,5.578094365,5.48440512,5.571478968
AT1G01230,8.5799588,8.714735397,8.79797017,8.680736786,8.555888691,8.450734574,8.952390731,8.543166938,9.188143011,8.485377669,8.414109108,8.351323051,9.226803659,9.35784134,9.589101396,8.483909249,8.572603414,8.459891009,9.279774107,8.815128464,9.130862761,8.590673712,8.528720754,8.529628061,8.569956394,8.628555919,8.49736682,8.258581581,8.515774229,8.257973637,8.341220007,8.461836672,8.335885079,8.34451388,8.374965669,8.492273295,8.309611626,8.390737455,8.588062945,8.373827247,8.293400828,8.430365326,8.573301471,8.221947982,8.43470567,8.465507231,8.666966935,8.372435231,8.445737716,8.466832658,8.458600429,8.484651304,8.527438083,8.570657267,8.608666834,8.29554414,8.336259942
AT1G01240,7.515484595,7.534581652,7.562076763,8.195407589,8.098464937,8.082982951,10.00646951,8.941734506,10.15966208,8.790848845,8.662457667,8.657745758,11.2199634,11.33791304,11.95542173,9.161369598,9.084639048,9.195767621,10.70885164,10.21945483,10.68752348,8.652396667,8.798777942,9.142012463,8.833273197,8.302358911,8.602849591,9.152669338,8.902057917,9.026763448,9.11323714,8.684101724,8.783022561,8.98375786,8.921395659,8.971630715,8.859532092,9.034575059,8.786034391,8.950321494,8.773325468,8.953295169,8.949879211,8.825127098,8.832139281,8.746486831,8.917337729,8.590941552,8.912605894,8.85654956,8.784675365,8.850323625,9.148667798,9.175889244,8.889324686,9.021785586,9.053491558
AT1G01250,7.100656319,7.243345045,6.886208563,6.998873017,6.967112274,6.91596395,7.992899023,6.758889218,8.366767281,6.426520956,6.370570169,6.682564907,9.10289753,9.090053426,8.934922414,6.714951287,6.32657193,6.717764269,9.05944186,8.267200674,9.09154537,6.0654637,6.014781563,5.456482528,6.464652068,6.366146716,6.602344881,6.578524833,7.035151504,6.549238106,6.60843672,6.348337583,6.492950642,6.378574299,6.41176143,6.250727669,6.487432521,6.497282449,6.271621303,6.585232263,6.396955129,6.088673334,6.493325797,6.442982491,6.120509002,6.554523305,6.000868687,6.119132725,6.567274039,6.556996318,6.385311628,6.129558656,6.188306794,6.20539785,6.32685437,6.396329164,6.635426017
