gene_id,condition,direction,endpoint_shift,recovery_shift,reversibility_index,persistence_breadth
AT1G67970,cold_high_light,up,1.040759842,0.3857767480000005,0.6293316359529555,6
AT1G68050,cold_high_light,up,2.300412552,0.7429885763333326,0.6770194217174779,1
AT1G68500,cold_high_light,up,1.1416002113333326,0.4495716019999998,0.6061917319768867,1
AT1G68600,cold_high_light,down,-0.8542566439999995,-0.34872333000000033,0.5917815419413928,1
AT1G70640,cold_high_light,up,0.5378188336666669,0.36566234199999936,0.32010126996290333,1
AT1G72660,cold_high_light,up,0.5300829393333331,0.4237481179999998,0.20060034655532755,1
AT1G73010,cold_high_light,up,0.7867880486666676,0.41964453333333385,0.4666358569573019,2
AT1G73810,cold_high_light,up,0.35953292533333236,0.38471651166666554,-0.07004528531005838,6
AT1G76790,cold_high_light,up,1.1566975506666664,0.4283578246666675,0.6296717111402353,3
AT1G76980,cold_high_light,up,0.7903786830000001,0.35727939833333267,0.5479642783668894,3
AT1G79040,cold_high_light,down,-0.3482546833333391,-0.7764374000000043,-1.22951028990706,1
AT1G80160,cold_high_light,up,0.42362226366666667,1.2698449716666667,-1.9975878998320602,8
AT2G05070,cold_high_light,down,-0.42437051000000103,-0.7977791666666683,-0.8799118880024588,1
AT2G05100,cold_high_light,down,-0.41567349666666864,-0.8075707033333366,-0.9428005629642848,1
AT2G05440,cold_high_light,up,0.8121479883333329,0.9484823516666667,-0.16786886785635624,6
AT2G16595,cold_high_light,up,0.5814734110000002,0.366335337333334,0.36998780958303545,5
AT2G17280,cold_high_light,up,1.987003783666668,0.47030327300000163,0.7633103284120883,2
AT2G19900,cold_high_light,up,0.4310563283333333,1.2134585096666664,-1.8150810692386035,7
AT2G20260,cold_high_light,down,-0.3640896999999992,-0.350561936666665,0.037155028920988986,1
AT2G21130,cold_high_light,up,1.6417504876666653,0.4055094446666656,0.7530017821142876,1
AT2G23170,cold_high_light,up,1.0595901929999991,0.46444496300000093,0.5616749135012036,5
AT2G25080,cold_high_light,down,-0.6644076400000003,-0.3578260433333327,0.4614359893072083,1
AT2G26560,cold_high_light,up,0.45686620866666594,0.419540574,0.08169926765999691,6
AT2G28400,cold_high_light,up,0.3441275053333337,0.42534977233333304,-0.23602375788394103,3
AT2G30520,cold_high_light,down,-0.5668492366666698,-0.46869459333333374,0.17315828792595678,1
AT2G30570,cold_high_light,down,-0.36768421999999923,-0.7230004866666668,-0.9663625669512506,1
AT2G32120,cold_high_light,up,0.5401215996666666,0.34545258900000064,0.3604170075531232,1
AT2G34420,cold_high_light,down,-0.8128224766666641,-0.35726808999999804,0.5604598786870008,1
AT2G34850,cold_high_light,up,1.012701638666666,0.5435080729999999,0.46330878488990246,1
AT2G36270,cold_high_light,up,0.8301374886666659,0.3837276763333328,0.5377540689679476,1
AT2G36750,cold_high_light,up,1.4494352916666662,0.45412442133333286,0.6866887235709933,1
AT2G36830,cold_high_light,down,-0.4218330100000003,-0.5125141866666691,-0.214969370620542,1
AT2G37580,cold_high_light,up,0.6540220466666673,0.44472244866666877,0.3200191783545049,1
AT2G37770,cold_high_light,up,1.8621265830000002,0.726988760666667,0.6095921902927548,5
AT2G38465,cold_high_light,up,0.8802817386666666,0.46066717833333204,0.4766821142614076,1
AT2G40080,cold_high_light,up,1.4315694406666672,0.5286730123333347,0.6307038992903222,1
AT2G41190,cold_high_light,up,0.5089945123333335,0.4989398283333344,0.019754012580423308,1
AT2G42530,cold_high_light,up,3.593217838333336,0.5583395350000018,0.8446129457993062,2
AT2G42540,cold_high_light,up,3.4298088366666697,0.43162231666666706,0.874155576237261,1
AT2G42560,cold_high_light,up,0.47639527966666684,1.782878402333334,-2.7424350711048433,4
AT2G43570,cold_high_light,up,1.6499202246666673,0.6958542770000014,0.5782497440804543,8
AT2G45570,cold_high_light,up,0.7456302219999995,0.8543652953333338,-0.14582975599040893,6
AT2G45960,cold_high_light,down,-0.358688936666665,-0.5570060499999983,-0.5528944248359471,1
AT2G46440,cold_high_light,down,-0.390935208666666,-0.3823987046666666,0.02183610943898917,3
AT3G01410,cold_high_light,up,1.0279290333333346,0.38708124700000024,0.6234358263577926,1
AT3G02480,cold_high_light,up,0.419864018666666,2.01032836,-3.7880462974275932,2
AT3G03170,cold_high_light,up,0.6912590109999996,0.4364363676666674,0.36863554655829633,1
AT3G03620,cold_high_light,up,0.39091587133333294,0.6282596526666666,-0.6071479792411683,1
AT3G05800,cold_high_light,up,1.633822545666666,0.42530142966666684,0.7396893372571705,1
AT3G06160,cold_high_light,up,0.9467355186666655,0.3428177193333326,0.6378949425958584,1
AT3G07650,cold_high_light,up,1.7803441933333337,0.5483282909999998,0.692009953438629,1
AT3G08940,cold_high_light,down,-0.9474840166666674,-0.66786572,0.295116637059894,1
